track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,track_artist_tuple,Unnamed: 0,Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,Explicit Track,Explicit Track.1,Unnamed: 29,category
0ABEVL7pgQLokhBcNJmozw,Fifth Harmony,Worth It,Worth It,64,185256,0,0.858,0.78,8,-3.739,1,0.0738,0.0478,5.72e-05,0.133,0.602,99.984,4,dance,"('Worth It', 'Fifth Harmony')",1154,Worth It,Reflection (Japan Deluxe Edition),Fifth Harmony,01-01-2014,USSM11406644,1517,37.7,815946405,94852,36133465,67,2318717784.0,12459776.0,494040.0,92873241.0,1277991912.0,1771709356.0,163.0,38592.0,223.0,59.0,627425.0,9.0,100051664.0,62064.0,607315.0,15861007.0,0,0,,2
4cluDES4hQEUhmXj6TXkSo,One Direction,Up All Night,What Makes You Beautiful,84,199986,0,0.726,0.787,4,-2.494,1,0.0737,0.009,0.0,0.0596,0.888,124.99,4,pop,"('What Makes You Beautiful', 'One Direction')",2576,What Makes You Beautiful,Up All Night,One Direction,01-01-2011,GBHMU1100018,1494,37.9,1265397717,175809,81950675,80,1864674236.0,16322948.0,102425.0,69075817.0,437246025.0,569428484.0,132.0,130026.0,244.0,65.0,674257.0,51.0,371873876.0,841626.0,,7288548.0,0,0,,2
6ZYxNjuAU9Vy3VtF6W1dtE,Shubh,We Rollin,We Rollin,79,199205,1,0.82,0.504,4,-9.113,0,0.141,0.261,7e-06,0.104,0.275,85.016,4,hip-hop,"('We Rollin', 'Shubh')",3031,We Rollin,WE ROLLIN,Shubh,17-09-2021,QZMEQ2168582,3245,24.1,258337879,25049,3683882,65,297136479.0,3230400.0,761830.0,14183967.0,226438634.0,795121.0,9.0,93.0,,,,2.0,13762.0,29.0,,339861.0,1,1,,2
4pspYVQGFHLPEFgQPD1J7e,ITZY,IT'z ME,WANNABE,74,191242,0,0.809,0.911,6,-4.41,0,0.0617,0.00795,0.000179,0.181,0.64,122.035,4,k-pop,"('WANNABE', 'ITZY')",1449,WANNABE,IT'z ME,ITZY,03-09-2020,US5TA2000006,2825,26.3,365845397,29751,5840656,66,731488947.0,8414274.0,116880.0,56690917.0,362463277.0,40824041.0,23.0,2293.0,29.0,9.0,45969.0,26.0,2698145.0,3933.0,,698118.0,0,0,,2
3QHMxEOAGD51PDlbFPHLyJ,Marc Anthony,3,Vivir Mi Vida,76,252346,0,0.656,0.877,0,-3.231,0,0.0342,0.345,0.0,0.349,0.894,105.018,4,salsa,"('Vivir Mi Vida', 'Marc Anthony')",2172,Vivir Mi Vida,3,Marc Anthony,23-07-2013,USSD11300112,2210,30.4,618671056,78822,28465181,71,1398550208.0,4470299.0,722663.0,24693560.0,302300755.0,263879004.0,112.0,119.0,253.0,46.0,685724.0,56.0,381672102.0,384522.0,,4858889.0,0,0,,2
3B54sVLJ402zGa6Xm4YGNe,"French Montana,Swae Lee",Jungle Rules,Unforgettable,82,233901,1,0.726,0.769,6,-5.043,1,0.123,0.0293,0.0101,0.104,0.733,97.985,4,hip-hop,"('Unforgettable', 'French Montana,Swae Lee')",1188,Unforgettable,EPIC AF,French Montana,01-01-2017,USSM11703478,454,72.6,2065697126,275044,91691537,82,2173793028.0,11604315.0,133949.0,68712610.0,631867114.0,402513671.0,191.0,105138.0,267.0,114.0,739260.0,45.0,505767047.0,265307.0,,,1,1,,2
0IGUXY4JbK18bu9oD4mPIm,(G)I-DLE,I NEVER DIE,TOMBOY,80,174386,0,0.755,0.87,1,-2.414,0,0.0936,0.00988,0.0,0.0917,0.645,124.032,4,k-pop,"('TOMBOY', '(G)I-DLE')",12,TOMBOY,I NEVER DIE,(G)I-DLE,14-03-2022,KRA392100080,1724,35.2,286016224,26565,10803270,67,496270574.0,4490255.0,43300.0,26703316.0,232860888.0,168900715.0,18.0,3005.0,,6.0,43550.0,30.0,645800.0,1252.0,,559921.0,0,0,,2
6stWVqWxtPPednHy1mzoOz,"Rvfv,Kikimoteleba",Tigini (Remix),Tigini (Remix),76,175555,0,0.782,0.655,6,-5.971,0,0.0566,0.377,0.00134,0.0749,0.662,135.018,4,latino,"('Tigini (Remix)', 'Rvfv,Kikimoteleba')",1833,Tigini (Remix),Tigini (Remix) - Single,Kikimoteleba,20-05-2022,ES71G2217944,4199,20.6,97902676,29131,4436551,58,201368546.0,3657987.0,292.0,23173.0,334079.0,20853109.0,7.0,2981.0,,3.0,25321.0,6.0,,,634462.0,401243.0,0,0,,2
1zB4vmk8tFRmM9UULNzbLB,Imagine Dragons,Evolve,Thunder,85,187146,0,0.605,0.822,0,-4.833,1,0.0438,0.00671,0.134,0.147,0.288,167.997,4,rock,"('Thunder', 'Imagine Dragons')",1417,Thunder,Thunder,Imagine Dragons,27-04-2017,USUM71704167,203,106.9,2384768901,244951,88329475,79,2707166590.0,16780231.0,1839173.0,79131934.0,906537912.0,222980374.0,225.0,273249.0,509.0,226.0,1148532.0,43.0,688060560.0,1104391.0,,13844050.0,0,0,,2
4uQY80TKE1u4ZQZQKHzVEi,Katy Perry,Teenage Dream,The One That Got Away,76,227333,0,0.691,0.795,1,-4.021,0,0.0355,0.000812,1.02e-06,0.156,0.876,133.971,4,dance,"('The One That Got Away', 'Katy Perry')",1771,The One That Got Away,Teenage Dream,Katy Perry,01-01-2010,USCA21001266,4172,20.7,921351898,110426,34757269,67,1126799119.0,5603400.0,110393.0,54883634.0,397746382.0,528140571.0,40.0,25625.0,16.0,21.0,81354.0,16.0,302855271.0,220209.0,,4674619.0,0,0,,2
